"Frame","MessageId","MessageOrderIndex","ChannelId","Timestamp","MessageAction","MessageTypeName","OriginEndpointId","DestinationEndpointId","CustomPayloadTypename","CustomPayloadUncompressedByteSize","StringPayload"
"7","1A70749E4C59F280B3CAE69179325069","","0","2020.03.14-04.54.10","Publish","ConcertAdmin_DiscoverServersEvent","85A8C31A42A2981A7D60A3BDCBC8F4E6","00000000000000000000000000000000","None","0",""
"7","6A57823D4CCB059F1FBF1696D5EAA13F","","0","2020.03.14-04.54.10","Receive","ConcertReliableHandshakeData","9CD5DE744D5A827B3BB08DBDE5B8AB83","85A8C31A42A2981A7D60A3BDCBC8F4E6","None","0",""
"7","6A57823D4CCB059F1FBF1696D5EAA13F","","0","2020.03.14-04.54.10","EndpointDiscovery","ConcertReliableHandshakeData","9CD5DE744D5A827B3BB08DBDE5B8AB83","85A8C31A42A2981A7D60A3BDCBC8F4E6","None","0",""
"7","21D55D4B42F06D031A8D3BB1B4A836F7","","0","2020.03.14-04.54.10","Send","ConcertReliableHandshakeData","85A8C31A42A2981A7D60A3BDCBC8F4E6","9CD5DE744D5A827B3BB08DBDE5B8AB83","None","0",""
"7","6A57823D4CCB059F1FBF1696D5EAA13F","","0","2020.03.14-04.54.10","Receive","ConcertReliableHandshakeData","9CD5DE744D5A827B3BB08DBDE5B8AB83","85A8C31A42A2981A7D60A3BDCBC8F4E6","None","0",""
"7","13D1B75C481A00E4A4C73BAA0D46FB66","","0","2020.03.14-04.54.10","Send","ConcertReliableHandshakeData","85A8C31A42A2981A7D60A3BDCBC8F4E6","9CD5DE744D5A827B3BB08DBDE5B8AB83","None","0",""
"7","32BEC80B429A4303AD2E3F84B9356753","","0","2020.03.14-04.54.10","Receive","ConcertReliableHandshakeData","9CD5DE744D5A827B3BB08DBDE5B8AB83","85A8C31A42A2981A7D60A3BDCBC8F4E6","None","0",""
"7","32BEC80B429A4303AD2E3F84B9356753","","0","2020.03.14-04.54.10","Receive","ConcertReliableHandshakeData","9CD5DE744D5A827B3BB08DBDE5B8AB83","85A8C31A42A2981A7D60A3BDCBC8F4E6","None","0",""
"10","E3010320467466E1F905FB80C8E99491","","0","2020.03.14-04.54.11","Publish","ConcertAdmin_DiscoverServersEvent","85A8C31A42A2981A7D60A3BDCBC8F4E6","00000000000000000000000000000000","None","0",""
"12","5E83E66F487DADB2012905BCB291B6A2","","0","2020.03.14-04.54.12","Publish","ConcertAdmin_DiscoverServersEvent","85A8C31A42A2981A7D60A3BDCBC8F4E6","00000000000000000000000000000000","None","0",""
"14","073DEBF9493C5919303618935F4FE88A","","0","2020.03.14-04.54.13","Publish","ConcertAdmin_DiscoverServersEvent","85A8C31A42A2981A7D60A3BDCBC8F4E6","00000000000000000000000000000000","None","0",""
"17","64B4A77C4FC74596CF761A8873DDD886","","0","2020.03.14-04.54.14","Publish","ConcertAdmin_DiscoverServersEvent","85A8C31A42A2981A7D60A3BDCBC8F4E6","00000000000000000000000000000000","None","0",""
"20","95686AB64B1BF8C245BFADA7501A2066","","0","2020.03.14-04.54.15","Publish","ConcertAdmin_DiscoverServersEvent","85A8C31A42A2981A7D60A3BDCBC8F4E6","00000000000000000000000000000000","None","0",""
"23","A8A0CF5646F663FCF0EE0699721FD51D","","0","2020.03.14-04.54.17","Publish","ConcertAdmin_DiscoverServersEvent","85A8C31A42A2981A7D60A3BDCBC8F4E6","00000000000000000000000000000000","None","0",""
"26","D586C3FA4E7A3EEDB8F56CB8E5E9EB8C","","0","2020.03.14-04.54.18","Publish","ConcertAdmin_DiscoverServersEvent","85A8C31A42A2981A7D60A3BDCBC8F4E6","00000000000000000000000000000000","None","0",""
