"Frame","MessageId","MessageOrderIndex","ChannelId","Timestamp","MessageAction","MessageTypeName","OriginEndpointId","DestinationEndpointId","CustomPayloadTypename","CustomPayloadUncompressedByteSize","StringPayload"
"1599","DBC212394F0DA6A4B6F641A0F2498028","","0","2020.03.19-23.04.48","Publish","ConcertAdmin_DiscoverServersEvent","EE66659F4F272C2F49251A9FD06837D6","00000000000000000000000000000000","None","0",""
"1603","2DFC880F4B59D9A8DD334FBEEFE7E779","","0","2020.03.19-23.04.48","Receive","ConcertReliableHandshakeData","03B0B3284D22A915D53F5A9DD7FDD3DB","EE66659F4F272C2F49251A9FD06837D6","None","0",""
"1603","2DFC880F4B59D9A8DD334FBEEFE7E779","","0","2020.03.19-23.04.48","EndpointDiscovery","ConcertReliableHandshakeData","03B0B3284D22A915D53F5A9DD7FDD3DB","EE66659F4F272C2F49251A9FD06837D6","None","0",""
"1603","1B3FDE7C40D93C3A20918A88CCAED255","","0","2020.03.19-23.04.48","Send","ConcertReliableHandshakeData","EE66659F4F272C2F49251A9FD06837D6","03B0B3284D22A915D53F5A9DD7FDD3DB","None","0",""
"1603","2DFC880F4B59D9A8DD334FBEEFE7E779","","0","2020.03.19-23.04.48","Receive","ConcertReliableHandshakeData","03B0B3284D22A915D53F5A9DD7FDD3DB","EE66659F4F272C2F49251A9FD06837D6","None","0",""
"1603","CB4C80A6447CA7B9DBE9DAAAAB464223","","0","2020.03.19-23.04.48","Send","ConcertReliableHandshakeData","EE66659F4F272C2F49251A9FD06837D6","03B0B3284D22A915D53F5A9DD7FDD3DB","None","0",""
"1607","FF3009C642F813376E6049A3D6CEF135","","0","2020.03.19-23.04.48","Receive","ConcertReliableHandshakeData","03B0B3284D22A915D53F5A9DD7FDD3DB","EE66659F4F272C2F49251A9FD06837D6","None","0",""
"1607","FF3009C642F813376E6049A3D6CEF135","","0","2020.03.19-23.04.48","Receive","ConcertReliableHandshakeData","03B0B3284D22A915D53F5A9DD7FDD3DB","EE66659F4F272C2F49251A9FD06837D6","None","0",""
"1708","84CCA26F4F3428E0E30D0FB9CB32FE34","","0","2020.03.19-23.04.49","Publish","ConcertAdmin_DiscoverServersEvent","EE66659F4F272C2F49251A9FD06837D6","00000000000000000000000000000000","None","0",""
"1827","852DD72B4AF7BD134D511285A03B9667","","0","2020.03.19-23.04.50","Publish","ConcertAdmin_DiscoverServersEvent","EE66659F4F272C2F49251A9FD06837D6","00000000000000000000000000000000","None","0",""
"1944","736F5CF3484917BFA73AE09BEDC3CF3F","","0","2020.03.19-23.04.51","Publish","ConcertAdmin_DiscoverServersEvent","EE66659F4F272C2F49251A9FD06837D6","00000000000000000000000000000000","None","0",""
"2053","DCB838EC4CB887E9AA85BA8FFFEAF5A8","","0","2020.03.19-23.04.52","Publish","ConcertAdmin_DiscoverServersEvent","EE66659F4F272C2F49251A9FD06837D6","00000000000000000000000000000000","None","0",""
"2082","E94BC10346173C6EA7F4558C66024D06","","0","2020.03.19-23.04.53","Publish","ConcertAdmin_DiscoverServersEvent","EE66659F4F272C2F49251A9FD06837D6","00000000000000000000000000000000","None","0",""
"2085","7C253A9445EF9A4CE147E98DC10F462E","","0","2020.03.19-23.04.54","Publish","ConcertAdmin_DiscoverServersEvent","EE66659F4F272C2F49251A9FD06837D6","00000000000000000000000000000000","None","0",""
